taz_id,n
799,4
800,3
801,8
802,3
803,5
804,2
805,8
806,0
807,6
808,0
809,0
810,0
811,0
812,10
813,15
814,29
815,9
816,5
817,32
818,11
819,26
820,2
821,5
822,0
823,2
824,5
825,14
826,2
827,6
828,0
829,16
830,13
831,3
832,1
833,1
834,17
835,6
836,0
837,9
838,27
839,1
840,0
841,4
842,21
843,50
844,29
845,0
846,5
847,9
848,6
849,5
850,4
851,0
852,2
853,47
854,6
855,28
856,8
857,10
858,15
859,3
860,19
861,2
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,2
872,5
873,0
874,7
875,0
876,0
877,0
878,0
879,0
880,12
881,31
882,0
883,2
884,23
885,0
886,5
887,17
888,14
889,2
890,22
891,8
892,17
893,17
894,3
895,14
896,2
897,0
898,16
899,8
900,2
901,5
902,0
903,2
904,9
905,4
906,11
907,35
908,1
909,12
910,13
911,2
912,2
913,4
914,0
915,1
916,1
917,0
918,0
919,2
920,33
921,3
922,11
923,19
924,13
925,9
926,13
927,3
928,5
929,0
930,11
931,12
932,4
933,9
934,13
935,29
936,0
937,2
938,7
939,21
940,14
941,7
942,6
943,17
944,15
945,33
946,12
947,37
948,11
949,40
950,15
951,8
952,22
953,37
954,8
955,16
956,0
957,0
958,7
959,0
960,28
961,21
962,4
963,0
964,20
965,17
966,9
967,0
968,0
969,2
970,0
971,0
972,0
973,0
974,0
975,2
976,7
977,17
978,5
979,0
980,1
981,3
982,0
983,17
984,0
985,5
986,11
987,0
988,0
989,19
990,0
991,7
992,20
993,34
994,6
995,8
996,4
997,6
998,26
999,7
1000,2
1001,4
1002,17
1003,13
1004,12
1005,0
1006,5
1007,6
1008,0
1009,1
1010,12
1011,14
1012,13
1013,3
1014,5
1015,9
1016,0
1017,0
1018,12
1019,8
1020,12
1021,1
1022,8
1023,0
1024,6
1025,0
1026,0
1027,1
1028,4
1029,7
1030,24
1031,17
1032,15
1033,11
1034,20
1035,0
1036,1
1037,12
1038,7
1039,23
1040,12
1041,0
1042,14
1043,5
1044,0
1045,6
1046,4
1047,13
1048,1
1049,6
1050,0
1051,8
1052,13
1053,14
1054,0
1055,8
1056,0
1057,0
1058,11
1059,10
1060,17
1061,0
1062,0
1063,3
1064,0
1065,2
1066,3
1067,2
1068,0
1069,12
1070,37
1071,7
1072,25
1073,21
1074,3
1075,5
1076,8
1077,23
1078,18
1079,25
1080,2
1081,16
1082,42
1083,0
1084,0
1085,3
1086,3
1087,24
1088,14
1089,0
1090,0
